filepath,xmin,xmax,ymin,ymax
Users\EAGLEEYE\ALPD\ALPD\images\N517.xml,175,290,228,255
Users\EAGLEEYE\ALPD\ALPD\images\N271.xml,262,318,141,160
Users\EAGLEEYE\ALPD\ALPD\images\N265.xml,87,216,166,212
Users\EAGLEEYE\ALPD\ALPD\images\N503.xml,66,174,302,332
Users\EAGLEEYE\ALPD\ALPD\images\N259.xml,324,475,166,205
Users\EAGLEEYE\ALPD\ALPD\images\N107.xml,141,311,113,164
Users\EAGLEEYE\ALPD\ALPD\images\N113.xml,151,306,113,180
Users\EAGLEEYE\ALPD\ALPD\images\N76.xml,6,470,114,233
Users\EAGLEEYE\ALPD\ALPD\images\N62.xml,156,243,110,159
Users\EAGLEEYE\ALPD\ALPD\images\N488.xml,19,94,249,314
Users\EAGLEEYE\ALPD\ALPD\images\N463.xml,97,229,338,378
Users\EAGLEEYE\ALPD\ALPD\images\N305.xml,361,434,167,183
Users\EAGLEEYE\ALPD\ALPD\images\N311.xml,295,355,166,185
Users\EAGLEEYE\ALPD\ALPD\images\N477.xml,383,491,212,248
Users\EAGLEEYE\ALPD\ALPD\images\N339.xml,209,283,135,169
Users\EAGLEEYE\ALPD\ALPD\images\N88.xml,168,242,148,171
Users\EAGLEEYE\ALPD\ALPD\images\N310.xml,241,348,369,417
Users\EAGLEEYE\ALPD\ALPD\images\N476.xml,101,397,223,291
Users\EAGLEEYE\ALPD\ALPD\images\N462.xml,576,902,487,596
Users\EAGLEEYE\ALPD\ALPD\images\N304.xml,143,222,114,156
Users\EAGLEEYE\ALPD\ALPD\images\N489.xml,1024,1273,611,680
Users\EAGLEEYE\ALPD\ALPD\images\N63.xml,54,91,201,226
Users\EAGLEEYE\ALPD\ALPD\images\N77.xml,229,309,151,178
Users\EAGLEEYE\ALPD\ALPD\images\N112.xml,49,164,135,191
Users\EAGLEEYE\ALPD\ALPD\images\N258.xml,158,230,184,232
Users\EAGLEEYE\ALPD\ALPD\images\N264.xml,222,295,300,337
Users\EAGLEEYE\ALPD\ALPD\images\N502.xml,248,372,116,144
Users\EAGLEEYE\ALPD\ALPD\images\N516.xml,137,352,141,186
Users\EAGLEEYE\ALPD\ALPD\images\N270.xml,75,125,173,195
Users\EAGLEEYE\ALPD\ALPD\images\N299.xml,101,270,136,176
Users\EAGLEEYE\ALPD\ALPD\images\N500.xml,146,302,160,196
Users\EAGLEEYE\ALPD\ALPD\images\N272.xml,170,316,81,121
Users\EAGLEEYE\ALPD\ALPD\images\N514.xml,63,243,234,274
Users\EAGLEEYE\ALPD\ALPD\images\N528.xml,184,342,220,257
Users\EAGLEEYE\ALPD\ALPD\images\N110.xml,286,328,133,159
Users\EAGLEEYE\ALPD\ALPD\images\N104.xml,195,244,266,282
Users\EAGLEEYE\ALPD\ALPD\images\N138.xml,153,254,141,185
Users\EAGLEEYE\ALPD\ALPD\images\N61.xml,71,198,124,231
